"title","longitude","latitude","refnum","has_location"
"7th District Police Station",-87.65067106299991,41.8645403460001,96000515,0
"Abbott, Robert S., House",-87.6161686759999,41.80996863100011,76000686,0
"Adams Building",-87.6299667359999,40.1276626590001,00001337,0
"Adams Memorial Library",-88.1065486989999,41.8750130780001,81000675,0
"Adams, Mary W., House",-87.78921508799992,42.1872978210001,82002552,0
"Addams, John H., Homestead",-89.6377947849999,42.3905554740001,79000871,0
"Adler Planetarium",-87.60741424599992,41.8664550780001,87000819,0
"Adler, David, Estate",-87.9567552969999,42.3023004070001,99001380,0
"Adler, Mrs. Isaac D., House",-87.9552909169999,42.3009346800001,02000901,0
"AF and AM Lodge 687, Orangeville",-89.64766693099992,42.4686393740001,03000354,0
"Airtight Bridge",-88.0933083699999,39.5491042850001,81000211,0
"Akin, Mrs. Henry F., House",-87.8424377439999,41.8796424870001,92000487,0
"Alexis Opera House",-90.5558118269999,41.0628275290001,87001267,0
"Allen Chapel African Methodist Episcopal Church",-89.3593063349999,40.144630432,04000422,0
"Allen School",-89.28008822999991,41.5296035280001,96000081,0
"Allen, Willis, House",-88.9271392819999,37.727676392,82002606,0
"Allentown Union Hall",-89.40894485999991,40.5549280820001,88001228,0
"Alpha Delta Phi Fraternity House",-88.2350387569999,40.109050751,90000752,0
"Alpha Delta Pi Sorority House",-88.2240447999999,40.105991364,00001333,0
"Alpha Phi Fraternity House--Beta Alpha Chapter",-88.23171234099991,40.1054344180001,05001250,0
"Alpha Rho Chi Fraternity House",-88.2386245729999,40.105182648,97000460,0
"Alpha Xi Delta Sorority Chapter House",-88.21618652299991,40.1019096370001,89001110,0
"Alta Vista Terrace Historic District",-87.65732711399991,41.949643655,72000448,0
"Alternate Route 66, Wilmington to Joilet",-88.10765397099991,41.4043645790001,06000381,0
"Altgeld Hall, University of Illinois",-88.2283869999999,40.109440072,70000229,0
"Alton Chapter House",-90.19018554699991,38.8927764890001,80001388,0
"Ambler&amp;apos;s Texaco Gas Station",-88.4407265439999,41.0940777480001,01001311,0
"Amboy Illinois Central Depot",-89.33261108400001,41.7145118710001,92001015,0
"American State Bank",-87.7933578489999,41.8504257200001,00000951,0
"Anderson--Carlson Building",-87.68277343999991,42.008479869,05001259,0
"Anderson, John C., House",-89.88911437999991,39.2888336180001,92001535,0
"Andover Chapter House",-90.29210915899994,41.2941627860001,80001367,0
"Andridge Apartments",-87.68871307399991,42.04776001,84000927,0
"Annawan Chapter House",-89.90629577599989,41.3961791990001,80001368,0
"Appellate Court, 5th District",-88.90208462299999,38.3265498950001,73000705,0
"Apple River Fort Site",-90.21427492899991,42.3180609660001,97001332,0
"Aquitania, The",-87.6510620119999,41.9734687810001,02000099,0
"Arcada Theater Building",-88.3124389649999,41.9139213560001,94000977,0
"Archer House Hotel",-87.69451141399991,39.3910598750001,76000685,0
"Arcola Carnegie Public Library",-88.2972183229999,39.684001923,02000459,0
"Ardmore Avenue Train Station",-87.9794769289999,41.8832435610001,80004525,0
"Ariston Cafe",-89.66812818999991,39.1773107920001,06000380,0
"Armour&amp;apos;s Warehouse",-88.61097930599991,41.324395769,97001333,0
"Armour Square",-87.63394252799991,41.833605177,03000789,0
"Armour, J. Ogden, House",-87.87158966099992,42.2399673460001,82002578,0
"Armour, Lester, House",-87.83459024599991,42.2926904160001,84001131,0
"Armour, Philip D., III, House",-87.8497390749999,42.2907905580001,96001342,0
"Ashelford Hall",-88.9359687019999,42.0333413440001,95000990,0
"Atkinson Hall",-90.1561279299999,41.4479141240001,03001203,0
"Atlanta Public Library",-89.23184204099989,40.2603721620001,79000852,0
