"title","longitude","latitude","refnum","has_location"
"Abbott, George S., Building",-73.0371704099999,41.5592880250001,82004359,0
"Abington Congregational Church",-72.00779572399991,41.8574079970001,77001413,0
"Academy Hall",-72.6384201049999,41.6659011840001,77001419,0
"Acadian House",-72.6793687589999,41.2851016500001,75001928,0
"Agudath Sholem Synagogue",-73.53361511200001,41.05487442,95000561,0
"Ahavas Sholem Synagogue",-72.9392929079999,41.2983932500001,95000559,0
"Aldrich Free Public Library",-71.8750853319999,41.7188141220001,94000768,0
"Alldis, James, House",-73.1227951049999,41.8042831420001,82004480,0
"Allen&amp;apos;s Cider Mill",-72.8318010989999,41.9955334410001,92000389,0
"Allis-Bushnell House",-72.5921325679999,41.279266357,82004352,0
"Allyn, Capt. Benjamin, II, House",-72.6529541019999,41.8199157710001,79002633,0
"Alsop House",-72.6553726199999,41.5585441590001,70000686,0
"American Legion Forest CCC Shelter",-73.0039705569999,41.92958041500011,86001725,0
"American Mills Web Shop",-72.95585632299991,41.2963867190001,83001276,0
"American Thermos Bottle Company Laurel Hill Plant",-72.0782501759999,41.5101586230001,88003091,0
"Ames, Winslow, House",-72.1023635859999,41.3744621280001,95000283,0
"Andover Center Historic District",-72.37466082099991,41.734027068,03000236,0
"Andrew, William, House",-73.01127624499991,41.265415192,02001695,0
"Andrews, Luman, House",-72.82890319799991,41.6046371460001,88003095,0
"Andrews, Moses, House",-72.8173446659999,41.5398521420001,78002859,0
"Ann Street Historic District",-72.67797724099999,41.7673903560001,83003514,0
"Anshei Israel Synagogue",-72.00133514399991,41.604988098,95000861,0
"Ansonia Library",-73.07675170900001,41.3447456360001,85001828,0
"Apartment at 49-51 Spring Street",-72.6835250849999,41.7705841060001,83001255,0
"Applewood Farm",-71.9954605099999,41.42552948000011,87001765,0
"Armsmear",-72.6744918819999,41.75357055700001,66000802,0
"Ashford Academy",-72.12322637799991,41.8728776360001,88002649,0
"Ashland Mill Bridge",-71.97399636099991,41.525371254,99000407,0
"Ashlawn",-72.0661544799999,41.6406631470001,79002649,0
"Aspetuck Historic District",-73.32309395599989,41.2232244850001,91000437,0
"Asylum Avenue District",-72.6930756659999,41.7693788320001,79002672,0
"Atwater Manufacturing Company",-72.8986663819999,41.5785255430001,88002678,0
"Atwater, George, House",-72.9003982539999,41.3321113590001,91001921,0
"Atwater--Linton House",-72.90001678499991,41.3312835690001,91001923,0
"Austin, A. Everett, House",-72.7091598509999,41.7807121280001,94001189,0
"Avery Homestead",-72.0478363039999,41.45216369600011,92001641,0
"Avery House",-71.9135808539999,41.6077023990001,86001726,0
"Avery Point Lighthouse",-72.0633748419999,41.3168236910001,02000866,0
"Avery, Thomas, House",-72.2163844159999,41.349755325,79002637,0
"Avon Congregational Church",-72.8307919299999,41.8099072240001,72001342,0
"B.P.O. Elks Lodge",-72.67239379899991,41.7635726930001,84000753,0
"Babb&amp;apos;s Beach",-72.7508454619999,42.02998077400011,06000591,0
"Backus, Nathaniel, House",-72.0784912109999,41.5349044800001,70000715,0
"Bacon Academy",-72.33265623599991,41.57335441600011,82004364,0
"Bacon, Jabez, House",-73.2085825449999,41.5380175530001,71000904,0
"Baldwin, Caleb, Tavern",-73.30825042699991,41.4126663210001,02000869,0
"Baldwin, George, House",-72.80450348299991,41.33151103900011,77001411,0
"Baldwin, Timothy, House",-72.78235626199999,41.2857093810001,88002633,0
"Baldwin, Zaccheus, House",-72.78570556599991,41.2858543400001,88002631,0
"Ball and Roller Bearing Company",-73.45178768299991,41.3982470550001,89001087,0
"Baltic Historic District",-72.0845662719999,41.61726468200001,87001247,0
"Bank Street Historic District",-73.0413813559999,41.5530337270001,83001277,0
"Barber, Giles, House",-72.65769280000001,41.8146929710001,88001498,0
