"title","longitude","latitude","refnum","has_location"
"Abbeville Historic District",-82.3782802499999,34.181055803,72001183,0
"Abbeville Opera House",-82.3780537469999,34.1778029690001,70000558,0
"Abbeville Opera House",-82.3780537469999,34.1778029690001,70000558,0
"Afro--American Insurance Company Building",-81.0357284549999,34.921653748,92000651,0
"Aiken Mile Track",-81.6987915429999,33.5441335740001,85000991,0
"Aiken Training Track",-81.70804674699991,33.54316102700011,85000992,0
"Aiken Winter Colony Historic District I",-81.7411476459999,33.5496776610001,84000484,0
"Aiken Winter Colony Historic District II",-81.72055901499991,33.554408047,84000498,0
"Aiken Winter Colony Historic District III",-81.7276131859999,33.5631966480001,84000508,0
"Aiken, Gov. William, House",-79.93483734099991,32.791088104,77001216,0
"Aiken, Hugh, House",-82.39025115999992,34.87701416,03000207,0
"Aiken, William, House and Associated Railroad Structures",-79.9372587029999,32.7893370210001,66000698,0
"Albion",-81.24290595699991,34.456069545,84000592,0
"Albright--Dukes House",-82.0177993769999,34.4906578060001,86003149,0
"Alderman&amp;apos;s 20 Stores in One",-80.21036069099991,33.6872352520001,94001047,0
"Alexander House",-81.9246368409999,34.9511337280001,03000205,0
"Alexander-Hill House",-82.9300993779999,34.7967164020001,72001216,0
"All Saints&amp;apos; Episcopal Church, Waccamaw",-79.1395166759999,33.467442776,91000232,0
"All Star Bowling Lane",-80.87223815899992,33.4834136960001,96000837,0
"Allen University",-81.02026619899991,34.0104767050001,75001705,0
"Allen, Joel, House",-79.49224627,34.411620719,74001848,0
"Allison Plantation",-81.3753043229999,35.002346199,80003716,0
"Allison, Robert Barnwell, House",-80.7637786869999,34.7172470090001,89002148,0
"Alston House",-81.02367401099991,34.004417419,79003359,0
"Alston, Emanuel, House",-80.55860701500001,32.4032330780001,88001723,0
"Ambrose, H. W., House",-79.0580368039999,33.8467903140001,86002219,0
"Amelia Street Historic District",-80.8599584629999,33.49434392500011,85002322,0
"American Cigar Factory",-82.3986770179999,34.848348349,82003853,0
"American Legion Building",-81.91407775899999,34.934902191,03000271,0
"American Legion Hut",-81.1170737209999,32.8721170210001,00001235,0
"American Telephone and Telegraph Company Building",-81.14173491199992,33.326637712,99000815,0
"Anchorage, The",-80.6742172239999,32.4319419860001,71000743,0
"Anderson College Historic District",-82.63805926399991,34.5136570700001,98000556,0
"Anderson Downtown Historic District",-82.6493938819999,34.4973734480001,79002372,0
"Anderson Downtown Historic District (Boundary Increase)",-82.64985877299991,34.503832226,87001996,0
"Anderson Historic District",-82.64736571099991,34.5000156950001,71000739,0
"Anderson House",-81.0252227779999,34.9322166440001,82003908,0
"Anderson&amp;apos;s Mill",-82.0113615839999,34.8831149910001,78002529,0
"Annandale Plantation",-79.30233655199992,33.21713303900011,73001709,0
"Antioch Christian Church",-81.4150064629999,32.9475433540001,77001212,0
"Appin",-79.71719369499991,34.604993838,82003894,0
"Appleby&amp;apos;s Methodist Church",-80.6505282819999,33.1372769340001,78002505,0
"Arcade Building",-81.0343704219999,34.0031166080001,82001525,0
"Arcade Hotel",-80.07390594499989,34.37538147,86003467,0
"Arcadia Mill No. 2",-81.9390487669999,34.9587898250001,05001158,0
"Arcadia Plantation",-79.22338352599991,33.3837958620001,78002509,0
"Arsenal Hill",-81.0423431399999,34.0084953310001,71000795,0
"Ashley River Historic District",-80.1225110309999,32.9124716600001,93001514,0
"Ashley River Road",-80.1205637869999,32.8898536940001,83003831,0
"Ashley--Willis House",-81.42384338399999,33.4027442930001,04000650,0
"Ashtabula",-82.7566603439999,34.6787960670001,72001186,0
"Askins, W. T., House",-79.75531768799991,33.8709678650001,95000636,0
"Atalaya",-79.08499800499992,33.5138648330001,84002045,0
"Atlantic Coast Line Railroad Depot",-79.04291140299991,33.8381916320001,86003839,0
"Babcock Building, South Carolina State Hospital",-81.0300902809999,34.0142536060001,81000570,0
"Bailey, Dr. York, House",-80.5739446659999,32.3978731910001,88001726,0
"Bailey&amp;apos;s Store",-80.27939919799991,32.5598100120001,86003204,0
"Baker, William, House",-80.9957993939999,33.8304586720001,78002494,0
"Ballentine-Shealy House",-81.38175779699991,34.104808226,83003858,0
"Balwearie",-81.244315362,34.45403764100011,84000593,0
"Bamberg City Hall",-81.0349756049999,33.2963977320001,05001099,0
"Bamberg Historic District",-81.0298734079999,33.2955511900001,83002184,0
"Bamberg, Gen. Francis Marion, House",-81.03158569299991,33.2963752750001,76001692,0
"Bank of Hampton",-81.1091918949999,32.8669052120001,01000606,0
"Bank of Western Carolina",-81.2362428469999,33.9814812800001,83003860,0
"Banks, Col. J. A., House",-80.77759551999991,33.6630783080001,80003655,0
"Banksia Hall",-81.36257171599991,33.2455863950001,74001821,0
"Banks--Mack House",-80.9390335079999,35.0034713750001,92000643,0
"Barber House",-80.87663427299989,33.894207146,86000531,0
"Barnwell House",-80.40577511499991,32.698307082,80003657,0
"Barnwell, Arthur, House",-82.2277673509999,34.8549909740001,82003867,0
"Barnwell, William, House",-80.6708908079999,32.4351806640001,71000744,0
"Barnwell-Gough House",-80.66996765099989,32.4369201660001,72001191,0
"Barr, D. D. D., House",-81.5270276739999,33.9366577860001,83003866,0
"Barratt House",-82.1271775919999,34.1103571550001,85002382,0
"Bates, William, House",-82.2341085999999,34.84819115,78002512,0
"Batesburg Commercial Historic District",-81.54796954999991,33.9069303900001,82003875,0
"Battery Cheves",-79.9057006509999,32.738057068,82003841,0
"Battery Gadsden",-79.8394598649999,32.7600111190001,74001842,0
"Battery LeRoy",-79.9806830509999,32.7139740430001,82004786,0
"Battery No. 1",-80.93033150299991,32.7192613510001,82004787,0
"Battery No. 1",-79.97800967799991,32.7144934920001,82004787,0
"Battery No. 5",-79.95471334999992,32.7084383550001,82004788,0
"Battery Thomson",-79.8407524079999,32.7591210910001,74001843,0
"Battery Tynes",-79.98952688200001,32.72450903,82004789,0
"Battery White",-79.2957750149999,33.30365585,77001222,0
"Battery Wilkes",-80.0652080189999,32.7938301450001,82001516,0
"Battle of Blackstock&amp;apos;s Historic Site",-81.8188217359999,34.6725645990001,74001885,0
"Battle of Hanging Rock Historic Site",-80.6647817679999,34.5586215430001,74001860,0
"Beattie, Fountain Fox, House",-82.3941571959999,34.852728272,74001859,0
"Beaty--Little House",-79.04772186299989,33.8377037050001,86002220,0
"Beaty--Spivey House",-79.04620361299992,33.8371429440001,86002223,0
"Beaufort Historic District",-80.6675792649999,32.4356287200001,69000159,0
"Beaufort National Cemetery",-80.6798361389999,32.4319257280001,97001208,0
"Belle Isle Rice Mill Chimney",-79.2579540789999,33.2006741230001,88000525,0
"Bellevue Historic District",-81.0383561269999,34.019238746,97001206,0
"Belton Depot",-82.49452432799991,34.522422948,79002373,0
"Belton Standpipe",-82.49147455399989,34.5224602340001,87001948,0
"Benedict College Historic District",-81.0197900339999,34.011991955,87000809,0
"Beneventum Plantation House",-79.2604706759999,33.445211622,88000526,0
"Bennett, Gov. Thomas, House",-79.9471282959999,32.78157043500001,78002496,0
"Bennettsville Historic District",-79.68102900700001,34.6161501450001,78002525,0
