"title","longitude","latitude","refnum","has_location"
"A. E. C. Cottage No. 23",-149.895050049,61.2201805110001,90000825,0
"Adak Army Base and Adak Naval Operating Station",-176.62884868,51.90104548500009,87000841,0
"Agricultural Experiment Station Barn",-152.398239136,57.7920684810001,04000716,0
"Alaska Central Railroad: Tunnel No. 1",-149.058156035,60.6541864450001,77001576,0
"Alaska Engineering Commission Cottage No. 25",-149.894424438,61.2195510860001,96000094,0
"Alaska Governor&amp;apos;s Mansion",-134.410827637,58.3017387390001,76000359,0
"Alaska Native Brotherhood Hall",-135.341296171,57.0508194880001,72000192,0
"Alaska Nellie&amp;apos;s Homestead",-149.361407702,60.40103825800011,75002159,0
"Alaska Steam Laundry",-134.401565552,58.2990226750001,78000527,0
"Alaska Totems",-131.633407162,55.3426674670001,71001090,0
"Alaskan Hotel",-134.401687622,58.29906845099999,78000526,0
"Alex, Mike, Cabin",-149.360859816,61.4616002560001,82002071,0
"Alexander Lake Shelter Cabin",-134.143718352,57.66269710900011,95001296,0
"Aluakpak",-159.859070871,70.41044609000009,80004555,0
"American Cemetery",-152.403031179,57.78998726399999,80004570,0
"American Flag Raising Site",-135.335620875,57.0484631800001,66000162,0
"Anchorage Cemetery",-149.876900794,61.2154812200001,93000320,0
"Anchorage City Hall",-149.892059326,61.2185363770001,80000745,0
"Anchorage Depot",-149.890274048,61.221523285,99001027,0
"Anchorage Hotel Annex",-149.891479492,61.2192001340001,99000443,0
"Anderson, Oscar, House",-149.904723783,61.2186336060001,78000514,0
"Aniakchak Bay Historic Landscape District",-157.518329427,56.7531184800001,97000016,0
"Anway, Charlie, Cabin",-135.479105256,59.2413119080001,01000967,0
"Ascension of Our Lord Chapel",-154.457770458,57.5682822160001,80004580,0
"Attu Battlefield and U.S. Army and Navy Airfields on Attu",172.907310798,52.90127526,85002729,0
"Bailey Colony Farm",-149.119942171,61.616030891,91000775,0
"Ballaine House",-149.441619873,60.1054458620001,78003429,0
"Beaver Lake Dam",-134.220559071,57.674871576,95001295,0
"Beiderman, Ed, Fish Camp",-143.302736296,65.36586295400011,87001204,0
"Berg, Andrew, Cabin",-150.630346655,60.1171621250001,00000385,0
"Berger, Jacob, House",-165.412397369,64.4998318680001,77000219,0
"Bergmann Hotel",-134.402999878,58.30136489900011,77000217,0
"Bering Expedition Landing Site",-144.487940808,59.89404128600011,77001542,0
"Berry House",-149.148376749,61.645267689,91000779,0
"Bettles Lodge",-151.519784844,66.9183253360001,97000401,0
"Big Delta Historic District",-145.837264499,64.15495431000009,91000252,0
"Big Shaheen Cabin",-134.276193071,57.70170131,95001292,0
"Bly, Dr. Elmer, House",-154.306387405,60.20476311,06000240,0
"Bremner Historic Mining District",-143.442089078,61.0238836650001,00000659,0
"Brown &amp; Hawkins Store",-149.441185834,60.10225996800011,88000710,0
"Bureau of Indian Affairs Unalakleet School",-160.787458432,63.8708724040001,02000536,0
"Burkhart-Dibrell House",-131.655151367,55.346416473,82004902,0
"Cable House and Station",-135.339422944,57.049665707,79000412,0
"Campus Center",-149.80248974,61.18979467100011,79000409,0
"Cape Decision Light Station",-134.136250202,56.0007578430001,04001568,0
"Cape Field at Fort Glenn (Umnak Island)",-167.919432673,53.3722656960001,87001301,0
"Cape Hinchinbrook Light Station",-146.648497014,60.03990953800011,05000728,0
"Cape Nome Mining District Discovery Sites",-165.409398974,64.5484764660001,78000535,0
"Cape Nome Roadhouse",-164.977774616,64.4428881580001,76000361,0
"Cape Spencer Lighthouse",-136.636831824,58.197849584,75002160,0
"Cape St. Elias Lighthouse",-144.613614707,59.8070386540001,75002157,0
"Central House",-144.798755265,65.571909621,78003431,0
"Chatanika Gold Camp",-147.478912201,65.11137822800001,79003753,0
"Chena Pump House",-147.888825741,64.83096082600009,82004900,0
"Chicken Historic District",-141.933715442,64.0757997460001,01001053,0
"Chicken Ridge Historic District",-134.413135572,58.30397948200001,95000420,0
"Chief Kashakes House",-131.597239568,55.31857776599999,93000338,0
"Chief Shakes Historic Site",-133.191657827,56.479962088,70000918,0
"Chief Son-I-Hat&amp;apos;s Whale House and Totems Historic District",-132.420454583,55.542183143,02000627,0
"Chilkat Oil Company Refinery Site",-144.452419823,60.18830145,74002320,0
"Chilkoot Trail",-135.296435493,59.5978644800001,75002120,0
"Chisana Historic District",-142.044863093,62.065406475,85002999,0
"Chistochina Trading Post",-144.685548224,62.5682302370001,97000553,0
