"title","longitude","latitude","refnum","has_location"
"Ackerville Baptist Church of Christ",-87.06821507099991,32.03164,87200001,0
"Adams Grove Presbyterian Church",-87.0308048439999,32.2724058420001,86001239,0
"Aderholdt&amp;apos;s Mill",-85.7699059169999,33.778012833,88003077,0
"Agee House",-86.7983093259999,33.498416901,86001962,0
"Age-Herald Building",-86.8065490719999,33.5188369750001,84000620,0
"Airmount Grave Shelter",-87.6691993899999,31.9690056240001,00000142,0
"Alabama Agricultural and Mechanical University Historic District",-86.57154655399999,34.7787494490001,01001407,0
"Alabama Builders&amp;apos; Hardware Manufacturing Company",-85.71250152599991,34.444099426,86000999,0
"Alabama Builder&amp;apos;s Hardware Manufacturing Company Complex (Boundary Increase)",-85.71627458399991,34.4460936630001,92000637,0
"Alabama City Library",-86.0440673829999,34.0253028870001,74000410,0
"Alabama City Wall Street Historic District",-86.0451372229999,34.0296433650001,02000484,0
"Alabama Girls&amp;apos; Industrial School",-86.86588376899989,33.1028351670001,78000509,0
"Alabama Great Southern Railroad Passenger Depot",-85.71858841699991,34.4442603350001,71001070,0
"Alabama Insane, Hospital",-87.53841431699991,33.2169212520001,77000216,0
"Alabama Iron Works",-87.7775529149999,34.4663046080001,77000203,0
"Alabama Midland Railway Depot",-85.23738939099989,31.1829201310001,85002163,0
"Alabama Penny Savings Bank",-86.8098907469999,33.5150375370001,80004471,0
"Alabama State Capitol",-86.30093273799992,32.3776006260001,66000152,0
"Alabama State Penitentiary",-86.1919363349999,32.5518085860001,73000342,0
"Alabama State University Historic District",-86.2976129809999,32.3642490810001,98001228,0
"Alabama Theatre",-86.8095245359999,33.51503372200011,79000386,0
"Albany Heritage Neighborhood Historic District",-86.9777740269999,34.5999630810001,83002981,0
"Albertville Depot",-86.20617258899991,34.2665571060001,75000320,0
"Alexander City Commercial Historic District",-85.9537826169999,32.9455862560001,00000711,0
"Aliceville Elementary and High School",-88.14778900099989,33.1293640140001,80000734,0
"Allen Grove",-87.7751105479999,32.428936192,94000689,0
"Allen House",-87.73684588399991,30.302674401,88002809,0
"Alston-Cobb House",-87.7768402099999,31.709854126,79000382,0
"Altwood",-87.6745581229999,32.4239217520001,93000598,0
"Andalusia Commercial Historic District",-86.4808719779999,31.306467716,88003238,0
"Anderson Place Historic District",-86.7999282939999,33.4938706230001,86001981,0
"Anderson Place Historic District (Boundary Increase)",-86.8010167989999,33.488631937,91000592,0
"Anniston Cotton Manufacturing Company",-85.8330993649999,33.658443451,85002739,0
"Anniston Electric and Gas Company Plant, Old",-85.8317337039999,33.6480140690001,91000611,0
"Anniston Inn Kitchen",-85.8323059079999,33.663673401,73000332,0
"Anniston Transfer Company",-85.82837676999991,33.6559867860001,85002740,0
"Anthony, David Rinehart, House",-87.89008331299991,32.8403472900001,82002015,0
"Antique Store",-86.9226969399999,32.6587184090001,86003662,0
"Arlington",-86.8387527469999,33.50086975100001,70000103,0
"Arlington Park",-86.8367671339999,33.4994897730001,95000097,0
"Armistead, Peter F., Sr., House",-87.73944039299991,34.840650774,86001540,0
"Ash, John, House",-86.3021341099999,33.7712036240001,91001479,0
"Ashe Cottage",-87.84006500199992,32.5185852050001,78000502,0
"Ashland Place Historic District",-88.09439651299989,30.6906322340001,87000935,0
"Ashville Historic District",-86.25345237499991,33.8356297780001,05000288,0
"Askew, Wade, House",-88.08926391599989,30.6880931850001,91000858,0
"Athens Courthouse Square Commercial Historic District",-86.9710398899999,34.8028470420001,97001164,0
"Athens State College Historic District",-86.96658914999991,34.8057496260001,85000254,0
"Atlantic Coastline Railroad Passenger Depot",-85.39156000299991,31.2307950430001,93001519,0
"Auburn Players Theater",-85.4817275999999,32.6041107180001,73000351,0
"Auburn University Historic District",-85.4828646399999,32.6049707080001,76000338,0
"Audubon Place Historic District",-87.55892435599991,33.2106521530001,85001517,0
"Austin, Hiram B., House",-88.1041161089999,30.419830635,88000106,0
"Automotive Historic District",-86.8010371459999,33.5126784220001,91000661,0
"Avalon",-86.7799409239999,33.5051925070001,85000444,0
"Avandale Mill Historic District",-86.27835788899991,33.5925147,00001030,0
"Avant House",-86.44589233400001,31.317085266,96000046,0
"Ave Maria Grotto",-86.8160338899999,34.17456483300001,84000610,0
"Averiett, Benjamin H., House",-86.3712134299999,33.1398458840001,86002034,0
"Averiett, William, House",-86.3993324069999,33.134094567,86002038,0
"Avondale Historic District",-85.9410757239999,32.9400492390001,05000837,0
"Avondale Park Historic District",-86.7724319029999,33.5193217550001,98000106,0
"Azalea Court Apartments",-88.08231353799989,30.6780033110001,88000108,0
"Bagley--Cater Building",-85.82949829099989,33.6571235660001,85002864,0
"Ball, Parks E., House",-88.1945569469999,33.1571263660001,82002069,0
"Bama Theatre-City Hall Building",-87.5679626459999,33.2087554930001,84000746,0
"Bank of Andalusia",-86.48226928699999,31.3077507020001,88003239,0
